movie_id,gross
tt1637688,173930596
tt1386703,198467168
tt1815862,243611982
tt0770828,668045518
tt1663662,411002906
tt1454468,723192705
tt1234721,242688965
tt1631867,370541256
tt1617661,183887723
tt2397535,4942449
tt1823672,102811889
tt2962726,252293
tt1502712,167882881
tt3659388,630620818
tt2304933,109906372
tt2543164,203388186
tt1355644,303144152
tt1219827,169846945
tt0134983,14828081
tt0127349,270745
tt0160644,769272
tt0176783,12591270
tt0144142,40361
tt0217630,18404706
tt0182295,299792
tt0162711,295683
tt0162650,107626125
tt0163983,40443010
tt0234137,580372
tt0216772,1247949
tt0206420,10194274
tt0168629,40061153
tt0210075,1666028
tt0215545,2463650
tt0208988,19412993
tt0160484,31355910
tt0229260,47737094
tt0228750,62761005
tt0247196,8601053
tt0146309,66579890
tt0194218,779137
tt0190861,184301
tt0231775,71186502
tt0166276,7622365
tt0192071,19900366
tt0221027,83282296
tt0245686,30987695
tt0246002,23396049
tt0240515,14343028
tt0141907,10372291
tt0240913,6531687
tt0203119,10045893
tt0239395,200687492
tt0242193,704808
tt0227005,5480653
tt0162346,8764389
tt0243655,295206
tt0218922,35402320
tt0238112,62112895
tt0251141,3034980
tt0263488,59371303
tt0184791,19260537
tt0139654,104876233
tt0255321,1945689
tt0239986,3520373
tt0206314,36642838
tt0219965,67631903
tt0166110,8378853
tt0246628,645418
tt0243017,3176880
tt0264796,23903791
tt0249478,54249294
tt0275719,515900
tt0252503,28510652
tt0266987,143049560
tt0247425,44763181
tt0193560,763740
tt0283509,4858869
tt0261066,275171
tt0280778,16153953
tt0259393,15747450
tt0248667,87812729
tt0245046,5323109
tt0240468,16994625
tt0250081,1318945
tt0240900,6413915
tt0265298,52970014
tt0265713,384098
tt0247745,23182223
tt0238546,45479110
tt0207524,73510
tt0291341,7310206
tt0265343,30787356
tt0277434,115374915
tt0278295,26306533
tt0216799,3033646
tt0279781,12517488
tt0262432,283846
tt0266452,8382938
tt0264472,94935764
tt0264616,17423030
tt0226935,60902
tt0157583,15713204
