movie_id,cluster
tt0212298,6
tt0212338,1
tt0212346,1
tt0212380,2
tt0212604,0
tt0212720,1
tt0212826,2
tt0212830,2
tt0212910,14
tt0212974,6
tt0212985,1
tt0213149,1
tt0213203,0
tt0213205,10
tt0213446,3
tt0213528,0
tt0213561,0
tt0213985,0
tt0214032,0
tt0214277,2
tt0214388,2
tt0214503,0
tt0214619,0
tt0214638,9
tt0214646,3
tt0214723,6
tt0214757,10
tt0214871,2
tt0215129,14
tt0215135,0
tt0215139,3
tt0215232,13
tt0215516,1
tt0215545,0
tt0215679,3
tt0215750,1
tt0216105,6
tt0216216,2
tt0216250,6
tt0216279,6
tt0216584,0
tt0216620,7
tt0216669,0
tt0216772,3
tt0216799,3
tt0216841,6
tt0216930,6
tt0217031,6
tt0217107,0
tt0217355,10
tt0217505,1
tt0217630,0
tt0217654,12
tt0217756,2
tt0217758,12
tt0217780,9
tt0217802,10
tt0217869,12
tt0217978,10
tt0217979,8
tt0218000,0
tt0218032,11
tt0218053,0
tt0218126,9
tt0218141,2
tt0218182,6
tt0218298,0
tt0218533,8
tt0218616,4
tt0218619,3
tt0218641,0
tt0218817,2
tt0218839,0
tt0218864,1
tt0218922,12
tt0218967,12
tt0218978,6
tt0219171,6
tt0219327,4
tt0219333,0
tt0219336,6
tt0219374,4
tt0219400,1
tt0219408,14
tt0219469,8
tt0219477,4
tt0219519,2
tt0219653,3
tt0219699,1
tt0219756,14
tt0219822,4
tt0219854,8
tt0219878,6
tt0219957,13
tt0219965,7
tt0220100,14
tt0220343,7
tt0220399,14
tt0220506,0
tt0221027,14
tt0221069,13
tt0221073,3
tt0221197,10
tt0221218,3
tt0221431,3
tt0221563,0
tt0221799,9
tt0221837,9
tt0221838,0
tt0221885,2
tt0221889,4
tt0222012,8
tt0222293,13
tt0222705,6
tt0222812,0
tt0222850,12
tt0223284,2
tt0223744,6
tt0223828,3
tt0223856,0
tt0223897,3
tt0223954,1
tt0224050,13
tt0224626,0
tt0225946,13
tt0226430,0
tt0226935,2
tt0227005,2
tt0227445,1
tt0227538,5
tt0227671,6
tt0228180,6
tt0228277,3
tt0228333,3
tt0228720,6
tt0228750,3
tt0228889,2
tt0228891,10
tt0228977,9
tt0229002,3
tt0229003,6
tt0229021,2
tt0229061,6
tt0229211,6
tt0229260,13
tt0229340,0
tt0229362,8
tt0229513,6
tt0229942,6
tt0230025,0
tt0230030,2
tt0230291,10
tt0230308,10
tt0230325,2
tt0230600,1
tt0230783,3
tt0230838,1
tt0231001,2
tt0231370,6
tt0231448,13
tt0231775,2
tt0231781,5
tt0232015,10
tt0232079,0
tt0232500,14
tt0233142,2
tt0233367,13
tt0233469,4
tt0233559,6
tt0233656,4
tt0233954,3
tt0234000,8
tt0234137,14
tt0234215,14
tt0234354,2
tt0234393,0
tt0234407,0
tt0234570,6
tt0234652,11
tt0234829,14
tt0234853,6
tt0235048,6
tt0235280,6
tt0235333,7
tt0235412,4
tt0235737,3
tt0236019,6
tt0236026,4
tt0236034,13
tt0236126,2
tt0236157,2
tt0236189,2
tt0236348,2
tt0236474,0
tt0236493,1
tt0236576,0
tt0236640,14
tt0236784,4
tt0237572,14
tt0237706,4
tt0238112,12
tt0238137,2
tt0238380,1
tt0238387,0
tt0238546,6
tt0238552,0
tt0238627,6
tt0238743,0
tt0238924,3
tt0238936,8
tt0238948,13
tt0238992,6
tt0239395,2
tt0239467,2
tt0239509,2
tt0239792,6
tt0239948,1
tt0239949,3
tt0239986,4
tt0240156,0
tt0240200,8
tt0240388,9
tt0240402,2
tt0240462,2
tt0240510,4
tt0240515,6
tt0240772,1
tt0240885,1
tt0240890,12
tt0240900,2
tt0240980,14
tt0241025,4
tt0241183,3
tt0241223,2
tt0241303,14
tt0241527,4
tt0241760,2
tt0241897,6
tt0242150,13
tt0242193,2
tt0242252,4
tt0242264,0
tt0242339,6
